Order Date,Product Name,Category,Region,Quantity,Sales,Profit,Margen
2024-12-22,Headphones,Accessories,North,9,"$2,997",$163.34,5.45%
2024-12-22,Camera,Electronics,West,6,"$1,272",$336.30,26.44%
2024-12-22,Keyboard,Accessories,North,4,$692,$181.31,26.20%
2024-12-21,Headphones,Accessories,East,9,"$7,083","$1,353.39",19.11%
2024-12-21,Monitor,Accessories,North,9,"$6,696","$1,224.22",18.28%
2024-12-21,Monitor,Accessories,East,6,"$1,050",$172.83,16.46%
2024-12-20,Headphones,Accessories,South,6,"$5,346",$351.93,6.58%
2024-12-20,Camera,Electronics,North,4,"$3,424",$845.68,24.70%
2024-12-20,Tablet,Electronics,West,6,"$3,384",$503.86,14.89%
2024-12-20,Keyboard,Accessories,West,4,"$2,336",$453.04,19.39%
2024-12-20,Smartwatch,Electronics,South,4,"$1,832",$528.69,28.86%
2024-12-20,Laptop,Electronics,North,1,$761,$61.15,8.04%
2024-12-20,Smartwatch,Electronics,East,5,$550,$28.72,5.22%
2024-12-20,Mouse,Accessories,South,3,$237,$49.94,21.07%
2024-12-19,Tablet,Electronics,South,8,"$9,328","$1,008.60",10.81%
2024-12-19,Smartwatch,Electronics,South,7,"$7,700","$1,573.41",20.43%
2024-12-19,Mouse,Accessories,West,6,"$5,190",$898.86,17.32%
2024-12-19,Tablet,Electronics,South,2,"$1,082",$182.10,16.83%
2024-12-18,Headphones,Accessories,East,4,"$4,740",$607.81,12.82%
2024-12-18,Laptop,Electronics,East,1,$58,$11.25,19.40%
2024-12-17,Smartwatch,Electronics,East,3,"$2,118",$317.08,14.97%
2024-12-17,Headphones,Accessories,North,2,"$1,840",$367.70,19.98%
2024-12-17,Keyboard,Accessories,West,1,$960,$95.88,9.99%
2024-12-16,Tablet,Electronics,East,8,"$5,376",$429.84,8.00%
2024-12-16,Camera,Electronics,South,2,"$2,092",$549.42,26.26%
2024-12-16,Monitor,Accessories,South,4,"$1,876",$221.18,11.79%
2024-12-16,Laptop,Electronics,North,1,$707,$100.16,14.17%
2024-12-16,Camera,Electronics,South,2,$376,$99.16,26.37%
2024-12-15,Camera,Electronics,West,5,"$3,685",$476.20,12.92%
2024-12-15,Monitor,Accessories,East,3,"$2,580",$448.02,17.37%
2024-12-14,Camera,Electronics,West,5,"$2,445",$146.60,6.00%
2024-12-13,Smartphone,Electronics,West,2,"$2,354",$371.34,15.77%
2024-12-13,Smartphone,Electronics,South,6,"$1,704",$193.18,11.34%
2024-12-13,Tablet,Electronics,North,3,$465,$98.93,21.28%
2024-12-12,Headphones,Accessories,South,9,"$8,514","$1,291.97",15.17%
2024-12-12,Headphones,Accessories,West,7,"$2,380",$431.43,18.13%
2024-12-11,Laptop,Electronics,South,7,"$7,392","$2,063.23",27.91%
2024-12-11,Monitor,Accessories,West,9,"$4,140",$301.12,7.27%
2024-12-11,Mouse,Accessories,South,7,"$2,100",$131.67,6.27%
2024-12-11,Printer,Office,East,2,"$1,218",$218.88,17.97%
2024-12-11,Laptop,Electronics,East,1,$918,$180.31,19.64%
2024-12-11,Keyboard,Accessories,North,6,$624,$66.99,10.74%
2024-12-11,Mouse,Accessories,North,9,$558,$38.86,6.96%
2024-12-10,Camera,Electronics,West,4,"$3,360",$540.38,16.08%
2024-12-10,Tablet,Electronics,West,3,"$2,262",$245.66,10.86%
2024-12-09,Smartphone,Electronics,West,8,"$5,832",$662.72,11.36%
2024-12-08,Headphones,Accessories,West,4,"$3,996",$965.26,24.16%
2024-12-08,Headphones,Accessories,South,3,"$2,601",$363.64,13.98%
2024-12-07,Smartphone,Electronics,West,8,"$6,576","$1,337.38",20.34%
2024-12-07,Tablet,Electronics,East,6,"$6,228","$1,756.82",28.21%
2024-12-07,Laptop,Electronics,East,6,"$5,508",$360.28,6.54%
2024-12-07,Keyboard,Accessories,South,6,"$3,198",$913.76,28.57%
2024-12-06,Mouse,Accessories,West,7,"$8,288","$1,945.03",23.47%
2024-12-06,Monitor,Accessories,East,5,"$3,505",$678.18,19.35%
2024-12-06,Tablet,Electronics,South,4,"$2,932",$597.65,20.38%
2024-12-06,Mouse,Accessories,East,8,"$2,632",$262.55,9.98%
2024-12-06,Smartphone,Electronics,East,6,"$1,254",$360.87,28.78%
2024-12-06,Monitor,Accessories,West,4,"$1,000",$198.92,19.89%
2024-12-06,Headphones,Accessories,North,1,$541,$52.50,9.70%
2024-12-05,Headphones,Accessories,West,8,"$3,600",$272.51,7.57%
2024-12-05,Keyboard,Accessories,North,1,$776,$172.19,22.19%
2024-12-05,Smartwatch,Electronics,West,6,$732,$136.59,18.66%
2024-12-05,Smartwatch,Electronics,South,1,$70,$10.64,15.20%
2024-12-04,Camera,Electronics,South,8,"$2,192",$441.77,20.15%
2024-12-04,Headphones,Accessories,East,3,"$1,989",$299.79,15.07%
2024-12-03,Mouse,Accessories,South,9,"$3,573",$550.44,15.41%
2024-12-03,Keyboard,Accessories,North,3,"$1,239",$143.35,11.57%
2024-12-03,Smartwatch,Electronics,North,1,$496,$93.31,18.81%
2024-12-03,Smartwatch,Electronics,South,5,$465,$71.23,15.32%
2024-12-02,Laptop,Electronics,East,1,$839,$228.72,27.26%
2024-12-01,Printer,Office,South,6,"$4,854",$510.88,10.52%
2024-12-01,Smartwatch,Electronics,East,4,"$3,968",$480.72,12.11%
2024-12-01,Keyboard,Accessories,South,5,"$3,090",$242.15,7.84%
2024-11-30,Monitor,Accessories,East,1,$351,$31.95,9.10%
2024-11-29,Printer,Office,South,4,"$3,212",$514.92,16.03%
2024-11-28,Camera,Electronics,West,6,"$4,116",$381.35,9.27%
2024-11-28,Keyboard,Accessories,North,9,"$3,591",$342.18,9.53%
2024-11-28,Keyboard,Accessories,North,5,"$1,765",$229.06,12.98%
2024-11-28,Laptop,Electronics,North,1,$104,$18.67,17.95%
2024-11-27,Smartphone,Electronics,East,7,"$6,867",$502.06,7.31%
2024-11-27,Keyboard,Accessories,North,6,"$3,594",$610.77,16.99%
2024-11-27,Smartphone,Electronics,South,6,"$2,310",$202.98,8.79%
2024-11-27,Camera,Electronics,East,2,$626,$168.82,26.97%
2024-11-27,Keyboard,Accessories,East,2,$416,$68.58,16.49%
2024-11-27,Monitor,Accessories,North,2,$340,$39.12,11.51%
2024-11-26,Monitor,Accessories,South,9,"$3,033",$177.92,5.87%
2024-11-26,Headphones,Accessories,South,4,"$1,208",$115.13,9.53%
2024-11-26,Mouse,Accessories,West,6,$888,$210.39,23.69%
2024-11-25,Mouse,Accessories,East,7,"$3,423",$435.06,12.71%
2024-11-25,Printer,Office,East,3,"$3,282",$492.59,15.01%
2024-11-24,Smartwatch,Electronics,West,8,"$8,560",$991.94,11.59%
2024-11-24,Smartphone,Electronics,West,2,"$1,612",$344.37,21.36%
2024-11-24,Smartphone,Electronics,South,8,$536,$57.08,10.65%
2024-11-23,Laptop,Electronics,South,4,"$4,596",$947.45,20.61%
2024-11-23,Tablet,Electronics,West,4,"$4,252",$445.18,10.47%
2024-11-22,Mouse,Accessories,West,4,$780,$162.72,20.86%
2024-11-21,Laptop,Electronics,North,7,"$5,096",$971.50,19.06%
2024-11-21,Printer,Office,East,6,"$1,728",$247.86,14.34%
2024-11-21,Mouse,Accessories,North,4,$796,$75.15,9.44%
2024-11-20,Smartwatch,Electronics,West,7,"$5,453","$1,592.37",29.20%
2024-11-20,Keyboard,Accessories,South,8,"$4,536",$627.13,13.83%
2024-11-20,Monitor,Accessories,North,4,"$4,464","$1,069.63",23.96%
2024-11-20,Printer,Office,East,5,"$3,030",$811.92,26.80%
2024-11-20,Tablet,Electronics,West,3,"$1,923",$274.00,14.25%
2024-11-20,Monitor,Accessories,South,4,$964,$184.03,19.09%
2024-11-19,Keyboard,Accessories,East,5,"$2,285",$279.90,12.25%
2024-11-19,Keyboard,Accessories,South,4,"$1,472",$387.27,26.31%
2024-11-19,Mouse,Accessories,South,1,"$1,138",$243.36,21.38%
2024-11-19,Tablet,Electronics,West,7,$546,$117.90,21.59%
2024-11-19,Smartphone,Electronics,North,3,$183,$41.82,22.85%
2024-11-18,Smartwatch,Electronics,East,4,"$2,792",$170.96,6.12%
2024-11-18,Laptop,Electronics,East,3,"$1,773",$183.15,10.33%
2024-11-18,Keyboard,Accessories,North,2,$116,$13.67,11.78%
2024-11-17,Keyboard,Accessories,South,9,"$4,302",$475.96,11.06%
2024-11-17,Smartwatch,Electronics,West,4,"$3,224",$871.53,27.03%
2024-11-17,Tablet,Electronics,West,2,$210,$42.04,20.02%
2024-11-16,Tablet,Electronics,South,7,"$7,161",$630.76,8.81%
2024-11-16,Laptop,Electronics,North,8,"$6,760","$1,097.63",16.24%
2024-11-16,Laptop,Electronics,West,7,"$6,587","$1,173.91",17.82%
2024-11-15,Headphones,Accessories,East,8,"$7,256",$558.79,7.70%
2024-11-15,Tablet,Electronics,West,6,"$4,722",$522.16,11.06%
2024-11-15,Monitor,Accessories,North,5,"$3,875",$768.74,19.84%
2024-11-15,Headphones,Accessories,East,9,"$2,187",$413.76,18.92%
2024-11-15,Monitor,Accessories,North,2,"$1,984",$125.13,6.31%
2024-11-14,Camera,Electronics,South,9,"$5,895",$442.49,7.51%
2024-11-14,Tablet,Electronics,East,9,"$5,238","$1,152.42",22.00%
2024-11-13,Smartphone,Electronics,North,4,"$2,516",$689.29,27.40%
2024-11-13,Tablet,Electronics,West,1,$414,$50.26,12.14%
2024-11-12,Keyboard,Accessories,East,4,"$2,424",$544.07,22.45%
2024-11-12,Smartwatch,Electronics,South,1,$281,$67.85,24.15%
2024-11-11,Tablet,Electronics,East,4,"$2,584",$394.52,15.27%
2024-11-11,Mouse,Accessories,West,3,"$1,989",$419.61,21.10%
2024-11-11,Tablet,Electronics,South,6,$510,$151.91,29.79%
2024-11-11,Mouse,Accessories,West,3,$315,$78.41,24.89%
2024-11-10,Smartphone,Electronics,West,9,"$8,667","$1,597.49",18.43%
2024-11-09,Smartphone,Electronics,West,5,"$3,795",$239.15,6.30%
2024-11-09,Monitor,Accessories,North,7,"$3,675",$236.80,6.44%
2024-11-09,Tablet,Electronics,South,3,"$3,522",$285.91,8.12%
2024-11-08,Smartwatch,Electronics,East,9,"$3,654",$581.90,15.93%
2024-11-08,Printer,Office,West,8,"$1,720",$401.26,23.33%
2024-11-08,Camera,Electronics,North,3,"$1,209",$320.61,26.52%
2024-11-06,Printer,Office,East,9,"$5,085",$488.63,9.61%
2024-11-06,Smartphone,Electronics,West,2,"$2,204",$523.82,23.77%
2024-11-06,Smartphone,Electronics,South,2,"$1,408",$193.09,13.71%
2024-11-06,Laptop,Electronics,North,3,"$1,371",$104.66,7.63%
2024-11-06,Smartwatch,Electronics,North,4,$360,$42.66,11.85%
2024-11-06,Smartwatch,Electronics,North,2,$244,$16.78,6.88%
2024-11-05,Printer,Office,South,5,"$4,375",$347.43,7.94%
2024-11-04,Tablet,Electronics,South,7,"$7,931",$504.39,6.36%
2024-11-04,Monitor,Accessories,West,9,"$4,581",$250.06,5.46%
2024-11-04,Headphones,Accessories,East,7,"$4,221",$358.02,8.48%
2024-11-04,Camera,Electronics,South,4,"$2,228",$293.25,13.16%
2024-11-04,Headphones,Accessories,East,4,"$1,636",$134.85,8.24%
2024-11-03,Smartwatch,Electronics,South,8,"$7,536","$1,197.09",15.88%
2024-11-03,Smartwatch,Electronics,North,6,"$6,510","$1,539.18",23.64%
2024-11-03,Tablet,Electronics,South,6,"$4,254",$938.66,22.07%
2024-11-03,Mouse,Accessories,East,2,"$2,372",$392.07,16.53%
2024-11-03,Laptop,Electronics,South,9,"$1,746",$260.50,14.92%
2024-11-03,Laptop,Electronics,East,3,$321,$72.13,22.47%
2024-11-03,Keyboard,Accessories,East,3,$189,$33.94,17.96%
2024-11-02,Keyboard,Accessories,East,7,"$7,252","$1,357.27",18.72%
2024-11-02,Printer,Office,South,8,"$4,784",$769.91,16.09%
2024-11-02,Headphones,Accessories,East,5,"$3,735",$423.94,11.35%
2024-11-02,Monitor,Accessories,South,8,$448,$45.43,10.14%
2024-11-01,Smartwatch,Electronics,East,9,"$10,530","$1,777.32",16.88%
2024-11-01,Keyboard,Accessories,North,7,"$8,071",$435.51,5.40%
2024-11-01,Mouse,Accessories,East,6,"$2,886",$355.32,12.31%
2024-11-01,Mouse,Accessories,South,1,"$1,058",$207.55,19.62%
2024-10-31,Smartwatch,Electronics,South,9,"$6,642",$394.48,5.94%
2024-10-31,Smartwatch,Electronics,South,3,"$2,943",$234.27,7.96%
2024-10-31,Keyboard,Accessories,West,9,"$2,853",$564.05,19.77%
2024-10-30,Laptop,Electronics,West,7,"$7,672","$2,046.38",26.67%
2024-10-30,Monitor,Accessories,East,6,"$1,170",$104.63,8.94%
2024-10-30,Headphones,Accessories,South,1,$393,$40.34,10.26%
2024-10-29,Printer,Office,West,9,"$9,324","$2,416.93",25.92%
2024-10-29,Smartphone,Electronics,East,7,"$6,013","$1,544.51",25.69%
2024-10-29,Smartwatch,Electronics,East,9,"$1,134",$267.26,23.57%
2024-10-29,Keyboard,Accessories,East,2,$226,$38.52,17.04%
2024-10-28,Mouse,Accessories,West,9,"$7,344","$1,417.84",19.31%
2024-10-28,Laptop,Electronics,North,7,$728,$64.82,8.90%
2024-10-27,Keyboard,Accessories,North,3,"$2,991",$716.54,23.96%
2024-10-27,Camera,Electronics,North,1,$930,$136.16,14.64%
2024-10-27,Monitor,Accessories,West,2,$366,$31.23,8.53%
2024-10-26,Tablet,Electronics,South,5,"$4,900",$347.25,7.09%
2024-10-26,Monitor,Accessories,North,6,"$3,438",$631.95,18.38%
2024-10-26,Tablet,Electronics,West,5,"$2,465",$497.19,20.17%
2024-10-26,Tablet,Electronics,North,8,"$2,464",$216.51,8.79%
2024-10-26,Printer,Office,East,1,$730,$55.72,7.63%
2024-10-25,Tablet,Electronics,West,8,"$8,336",$782.80,9.39%
2024-10-25,Laptop,Electronics,West,5,"$2,130",$318.99,14.98%
2024-10-25,Laptop,Electronics,East,1,$989,$149.99,15.17%
2024-10-24,Tablet,Electronics,North,3,"$3,336",$798.26,23.93%
2024-10-23,Smartphone,Electronics,North,1,$92,$14.88,16.17%
2024-10-22,Monitor,Accessories,West,5,"$4,375",$987.96,22.58%
2024-10-22,Tablet,Electronics,West,3,"$2,832",$317.76,11.22%
2024-10-22,Camera,Electronics,South,7,"$2,296",$138.93,6.05%
2024-10-22,Printer,Office,South,8,$672,$186.37,27.73%
2024-10-21,Tablet,Electronics,East,9,"$7,767","$2,172.19",27.97%
2024-10-21,Camera,Electronics,West,4,"$2,792",$725.35,25.98%
2024-10-21,Laptop,Electronics,West,2,"$2,386",$381.83,16.00%
2024-10-21,Monitor,Accessories,East,9,"$2,331",$558.00,23.94%
2024-10-21,Smartwatch,Electronics,North,2,"$2,232",$150.12,6.73%
2024-10-21,Smartphone,Electronics,East,1,$995,$149.86,15.06%
2024-10-20,Monitor,Accessories,North,5,"$4,590",$650.05,14.16%
2024-10-20,Tablet,Electronics,East,7,"$3,395",$350.26,10.32%
2024-10-20,Smartphone,Electronics,South,6,"$2,970",$425.90,14.34%
2024-10-20,Headphones,Accessories,South,2,"$2,376",$580.26,24.42%
2024-10-20,Monitor,Accessories,North,5,"$1,980",$249.22,12.59%
2024-10-20,Laptop,Electronics,North,2,"$1,168",$198.40,16.99%
2024-10-20,Keyboard,Accessories,East,2,"$1,122",$100.78,8.98%
2024-10-20,Headphones,Accessories,South,1,$282,$72.50,25.71%
2024-10-19,Keyboard,Accessories,North,5,"$3,670",$790.67,21.54%
2024-10-18,Tablet,Electronics,West,5,"$4,560","$1,180.80",25.89%
2024-10-18,Printer,Office,South,6,"$3,696",$597.66,16.17%
2024-10-18,Mouse,Accessories,South,3,"$2,214",$127.34,5.75%
2024-10-18,Headphones,Accessories,South,5,$720,$214.31,29.77%
2024-10-18,Tablet,Electronics,East,1,$123,$12.36,10.05%
2024-10-17,Printer,Office,South,5,"$3,385",$774.86,22.89%
2024-10-17,Camera,Electronics,West,8,"$3,152",$337.36,10.70%
2024-10-16,Keyboard,Accessories,North,2,$430,$114.91,26.72%
2024-10-15,Printer,Office,South,8,"$9,528","$1,942.35",20.39%
2024-10-15,Smartphone,Electronics,East,9,"$7,731","$2,178.05",28.17%
2024-10-15,Camera,Electronics,West,6,"$6,366",$318.97,5.01%
2024-10-15,Keyboard,Accessories,South,8,"$5,040",$465.36,9.23%
2024-10-15,Smartphone,Electronics,East,4,"$1,896",$191.70,10.11%
2024-10-14,Laptop,Electronics,South,5,"$5,345","$1,060.46",19.84%
2024-10-14,Mouse,Accessories,West,2,"$1,226",$124.25,10.13%
2024-10-14,Keyboard,Accessories,South,1,$551,$86.84,15.76%
2024-10-14,Laptop,Electronics,West,3,$510,$110.38,21.64%
2024-10-13,Keyboard,Accessories,North,9,"$9,900",$576.80,5.83%
2024-10-13,Laptop,Electronics,South,9,$594,$93.92,15.81%
2024-10-13,Printer,Office,West,1,$570,$57.07,10.01%
2024-10-12,Monitor,Accessories,South,8,"$5,456",$898.06,16.46%
2024-10-12,Tablet,Electronics,North,2,"$1,852",$168.92,9.12%
2024-10-12,Camera,Electronics,North,4,$784,$192.77,24.59%
2024-10-11,Printer,Office,North,8,"$7,264","$1,318.00",18.14%
2024-10-11,Smartphone,Electronics,South,5,"$5,465",$719.92,13.17%
2024-10-11,Tablet,Electronics,East,7,"$3,500",$919.35,26.27%
2024-10-10,Keyboard,Accessories,South,4,"$2,936",$204.55,6.97%
2024-10-10,Smartphone,Electronics,South,2,"$2,032",$149.70,7.37%
2024-10-10,Tablet,Electronics,East,1,$653,$93.78,14.36%
2024-10-09,Printer,Office,East,7,"$8,057","$1,652.27",20.51%
2024-10-09,Tablet,Electronics,West,6,"$3,120",$274.65,8.80%
2024-10-09,Headphones,Accessories,North,2,"$1,420",$93.59,6.59%
2024-10-09,Smartwatch,Electronics,North,5,$830,$58.28,7.02%
2024-10-09,Printer,Office,North,1,$624,$106.92,17.13%
2024-10-07,Keyboard,Accessories,East,9,"$5,706","$1,704.80",29.88%
2024-10-07,Smartphone,Electronics,North,4,$344,$25.70,7.47%
2024-10-06,Mouse,Accessories,West,5,"$2,050",$157.13,7.66%
2024-10-06,Smartphone,Electronics,North,3,$300,$38.44,12.81%
2024-10-05,Headphones,Accessories,North,9,"$5,571","$1,523.81",27.35%
2024-10-05,Keyboard,Accessories,West,9,"$4,032",$876.91,21.75%
2024-10-05,Smartwatch,Electronics,East,5,"$2,725",$308.29,11.31%
2024-10-05,Smartwatch,Electronics,East,5,"$1,815",$468.62,25.82%
2024-10-05,Tablet,Electronics,West,2,$374,$49.26,13.17%
2024-10-04,Camera,Electronics,South,5,"$1,825",$221.47,12.14%
2024-10-03,Laptop,Electronics,South,6,"$5,484",$540.40,9.85%
2024-10-03,Camera,Electronics,East,4,"$3,296",$460.98,13.99%
2024-10-03,Camera,Electronics,West,5,"$3,140",$853.66,27.19%
2024-10-03,Keyboard,Accessories,East,3,"$2,889",$604.45,20.92%
2024-10-03,Printer,Office,East,1,$714,$99.13,13.88%
2024-10-02,Smartwatch,Electronics,South,8,"$8,792","$2,045.54",23.27%
2024-10-02,Printer,Office,East,8,"$3,336",$492.76,14.77%
2024-10-02,Laptop,Electronics,South,4,"$2,408",$721.80,29.98%
2024-10-02,Monitor,Accessories,South,1,$436,$73.89,16.95%
2024-10-01,Camera,Electronics,North,6,"$6,384","$1,754.15",27.48%
2024-10-01,Smartwatch,Electronics,North,8,"$4,048",$666.10,16.46%
2024-10-01,Mouse,Accessories,South,4,"$3,264",$639.80,19.60%
2024-10-01,Smartwatch,Electronics,East,5,"$1,910",$463.07,24.24%
2024-10-01,Camera,Electronics,North,3,"$1,074",$240.44,22.39%
2024-10-01,Printer,Office,North,2,$848,$129.96,15.33%
2024-09-30,Monitor,Accessories,West,5,"$5,210","$1,338.80",25.70%
2024-09-30,Tablet,Electronics,East,2,"$2,178",$574.40,26.37%
2024-09-30,Printer,Office,East,3,"$1,872",$532.81,28.46%
2024-09-30,Laptop,Electronics,South,3,"$1,737",$353.17,20.33%
2024-09-30,Laptop,Electronics,West,5,"$1,600",$242.25,15.14%
2024-09-29,Keyboard,Accessories,North,5,"$1,130",$254.99,22.57%
2024-09-29,Laptop,Electronics,North,1,$450,$75.89,16.86%
2024-09-29,Tablet,Electronics,South,1,$226,$55.40,24.51%
2024-09-29,Smartphone,Electronics,West,1,$158,$32.89,20.82%
2024-09-28,Printer,Office,North,6,"$5,724",$857.33,14.98%
2024-09-28,Headphones,Accessories,North,3,"$1,137",$173.92,15.30%
2024-09-28,Monitor,Accessories,East,1,$359,$78.17,21.77%
2024-09-27,Mouse,Accessories,West,6,"$4,062","$1,087.17",26.76%
2024-09-27,Mouse,Accessories,South,5,"$3,100",$695.28,22.43%
2024-09-27,Camera,Electronics,West,4,"$1,064",$314.84,29.59%
2024-09-26,Laptop,Electronics,North,5,"$1,660",$283.14,17.06%
2024-09-26,Mouse,Accessories,West,1,$95,$6.97,7.34%
2024-09-25,Mouse,Accessories,East,9,"$8,460","$1,515.06",17.91%
2024-09-25,Camera,Electronics,North,8,"$6,488","$1,072.86",16.54%
2024-09-25,Camera,Electronics,North,5,"$5,990","$1,548.62",25.85%
2024-09-25,Mouse,Accessories,North,4,"$3,808",$442.33,11.62%
2024-09-25,Smartphone,Electronics,West,4,"$1,852",$535.07,28.89%
2024-09-25,Keyboard,Accessories,East,2,$876,$224.01,25.57%
2024-09-25,Monitor,Accessories,West,4,$408,$45.20,11.08%
2024-09-24,Keyboard,Accessories,South,6,"$1,092",$176.52,16.16%
2024-09-24,Headphones,Accessories,East,5,$855,$238.83,27.93%
2024-09-23,Mouse,Accessories,East,6,"$6,126",$428.38,6.99%
2024-09-23,Mouse,Accessories,North,6,"$4,920",$929.18,18.89%
2024-09-23,Printer,Office,East,1,$546,$124.10,22.73%
2024-09-22,Smartwatch,Electronics,East,6,"$6,462","$1,466.15",22.69%
2024-09-22,Printer,Office,East,6,"$4,890",$689.01,14.09%
2024-09-22,Smartwatch,Electronics,West,4,"$1,932",$301.16,15.59%
2024-09-21,Camera,Electronics,North,7,"$7,455","$1,008.42",13.53%
2024-09-21,Mouse,Accessories,West,9,"$7,200","$1,469.23",20.41%
2024-09-21,Keyboard,Accessories,East,6,"$6,720","$1,113.56",16.57%
2024-09-21,Smartwatch,Electronics,North,6,"$3,012",$307.47,10.21%
2024-09-21,Monitor,Accessories,East,4,"$1,272",$299.84,23.57%
2024-09-20,Headphones,Accessories,East,8,"$8,872","$1,486.58",16.76%
2024-09-20,Camera,Electronics,South,6,$816,$98.75,12.10%
2024-09-20,Laptop,Electronics,North,1,$749,$68.17,9.10%
2024-09-20,Smartphone,Electronics,East,1,$166,$31.72,19.11%
2024-09-19,Smartwatch,Electronics,East,8,"$8,056",$605.80,7.52%
2024-09-19,Printer,Office,West,9,"$3,753","$1,114.87",29.71%
2024-09-19,Laptop,Electronics,West,5,"$3,280",$954.17,29.09%
2024-09-19,Headphones,Accessories,South,3,$777,$147.93,19.04%
2024-09-18,Mouse,Accessories,West,6,"$3,414",$396.92,11.63%
2024-09-18,Printer,Office,South,9,"$3,357",$405.61,12.08%
2024-09-18,Smartphone,Electronics,North,4,"$2,064",$359.30,17.41%
2024-09-18,Smartphone,Electronics,South,3,"$1,851",$198.71,10.74%
2024-09-18,Printer,Office,East,1,$958,$186.76,19.49%
2024-09-17,Printer,Office,East,9,"$8,595","$1,312.19",15.27%
2024-09-17,Headphones,Accessories,South,7,"$7,966","$1,313.56",16.49%
2024-09-17,Smartwatch,Electronics,North,6,"$5,178","$1,321.58",25.52%
2024-09-16,Printer,Office,North,7,"$6,293",$718.49,11.42%
2024-09-16,Printer,Office,North,8,"$4,080",$336.96,8.26%
2024-09-16,Headphones,Accessories,South,6,"$2,640",$734.44,27.82%
2024-09-15,Smartwatch,Electronics,East,9,"$3,591",$423.00,11.78%
2024-09-15,Mouse,Accessories,West,7,"$2,751",$675.95,24.57%
2024-09-14,Smartphone,Electronics,West,8,"$7,496","$2,019.32",26.94%
2024-09-14,Laptop,Electronics,East,6,"$5,124","$1,078.57",21.05%
2024-09-13,Headphones,Accessories,North,5,"$2,805",$438.89,15.65%
2024-09-13,Keyboard,Accessories,North,9,"$2,628",$459.87,17.50%
2024-09-13,Keyboard,Accessories,East,3,"$2,478",$584.37,23.58%
2024-09-12,Monitor,Accessories,South,4,"$4,324",$288.12,6.66%
2024-09-12,Laptop,Electronics,North,9,"$2,853",$353.09,12.38%
2024-09-12,Laptop,Electronics,East,3,"$1,656",$378.84,22.88%
2024-09-12,Tablet,Electronics,North,4,$380,$72.88,19.18%
2024-09-10,Mouse,Accessories,North,9,"$8,442",$940.33,11.14%
2024-09-10,Printer,Office,West,3,"$2,568",$734.60,28.61%
2024-09-10,Camera,Electronics,North,5,"$1,815",$535.22,29.49%
2024-09-10,Smartphone,Electronics,East,4,"$1,192",$212.77,17.85%
